id,replies,retweets,quotes,likes,tidy_tweets,sentiment,Overall_sentimental,day_of_week,date_only,Time
1261416063784402946,1218,1787,113,6025,We re building a campaign that will defeat Donald Trump and transform this nation but we need your help to do it Join us this Sunday for a Grassroots Strategy Summit where we ll lay out our path to victory and how you can get involved https t co FhQWfR nJf https t co VuEkunPtr ,0.0,Neutral,Friday,2020-05-15,22:00:00
1261436978232356864,5866,21982,1216,73481,I want Donald Trump to look the American people in the eye and explain why their hard earned dollars are bailing out his wealthy donors https t co FItXvsZpp,0.06944444444444443,Neutral,Friday,2020-05-15,23:23:00
1261450037739106304,1903,5005,290,18765,The fact is Donald Trump wasted an awful lot of time and lives were lost as a consequence https t co c UdsDmLWi,-0.6,Negative,Saturday,2020-05-16,00:15:00
1261665206184312838,12390,21459,2953,158694,Science over fiction ,0.0,Neutral,Saturday,2020-05-16,14:30:00
1261674293458604038,3046,22473,896,86601,It seems the way to get fired by President Trump is not to commit wrongdoing but to investigate it https t co cb FAZRJP,0.0,Neutral,Saturday,2020-05-16,15:06:00
1261705973988839424,949,4319,234,15413,On this Armed Forces Day DrBiden and I want to express our gratitude and support for the men and women in uniform serving and defending our country around the world Thank you for your selfless service and sacrifice You continue to make us proud https t co CHDdzrZkhK,0.8,Positive,Saturday,2020-05-16,17:12:00
1261729378171412481,2436,5041,379,18709,Defeating Donald Trump is going to take everything we ve got His campaign has been preparing for the last four years and has millions in the bank I know times are tough but if you can please pitch in today to help us catch up https t co J xObksn https t co hXpIM cF ,-0.19444444444444445,Negative,Saturday,2020-05-16,18:45:00
1261760080422322176,1873,3828,285,15562,We need a president who puts hardworking Americans ahead of the wealthy and well connected https t co S PWWdLT ,0.5,Positive,Saturday,2020-05-16,20:47:00
1261794809565466624,3956,11395,759,52806,Every day Donald Trump proves how wholly unfit he is to lead our country https t co uxJOUnQ Ok,0.4,Positive,Saturday,2020-05-16,23:05:00
1261808650454093824,5370,10593,1093,70642,From this moment of crisis we have the opportunity to not just rebuild our economy but transform it ,0.0,Neutral,Sunday,2020-05-17,00:00:00
1261865381075058689,1363,12784,481,78798,Congratulations to the Class of and to all those who were a part of the journey I can t wait to see what you all accomplish #GraduateTogether https t co o zNBsv V,0.0,Neutral,Sunday,2020-05-17,03:45:00
1262021805180506117,1714,8504,727,39495,Today on the International Day Against Homophobia Transphobia and Biphobia I stand with LGBTQ people and their allies to celebrate and champion the inherent dignity and worth of all persons regardless of sexual orientation or gender identity #IDAHOTB https t co olR jHqu,0.26666666666666666,Positive,Sunday,2020-05-17,14:07:00
